contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
BTC251219C00052000,2025-06-12 14:51:17+00:00,52.0,5.31,4.2,4.8,0.0,0.0,2.0,9.0,0.5050098327636718,False,REGULAR,USD,2025-12-19
BTC251219C00053000,2025-06-24 16:01:01+00:00,53.0,4.0,3.9,4.5,0.0,0.0,1.0,6.0,0.5064746618652343,False,REGULAR,USD,2025-12-19
BTC251219C00054000,2025-06-25 15:56:02+00:00,54.0,3.8,3.6,4.3,-0.45000005,-10.588236,20.0,7.0,0.5141650146484374,False,REGULAR,USD,2025-12-19
BTC251219C00055000,2025-06-10 16:55:05+00:00,55.0,4.89,3.4,4.0,0.0,0.0,31.0,46.0,0.5129443237304687,False,REGULAR,USD,2025-12-19
BTC251219C00056000,2025-05-28 15:04:56+00:00,56.0,5.1,3.1,3.8,0.0,0.0,1.0,0.0,0.5180712255859375,False,REGULAR,USD,2025-12-19
BTC251219C00057000,2025-06-23 16:31:43+00:00,57.0,2.65,2.95,3.5,0.0,0.0,1.0,0.0,0.5141650146484374,False,REGULAR,USD,2025-12-19
BTC251219C00058000,2025-06-27 16:37:45+00:00,58.0,3.0,2.6,3.3,-0.75,-20.0,2.0,101.0,0.5168505346679688,False,REGULAR,USD,2025-12-19
BTC251219C00059000,2025-06-06 17:04:55+00:00,59.0,3.3,2.4,3.0,0.0,0.0,1.0,41.0,0.5102588037109376,False,REGULAR,USD,2025-12-19
BTC251219C00060000,2025-06-24 15:29:52+00:00,60.0,2.5,2.2,2.95,0.0,0.0,1.0,61.0,0.523442265625,False,REGULAR,USD,2025-12-19
BTC251219C00065000,2025-06-25 17:51:54+00:00,65.0,2.0,1.5,2.15,0.0,0.0,11.0,52.0,0.5293015820312501,False,REGULAR,USD,2025-12-19
BTC260116C00020000,2025-06-20 16:41:07+00:00,20.0,27.02,27.1,30.4,0.0,0.0,5.0,8.0,1.0185595947265624,True,REGULAR,USD,2026-01-16
BTC260116C00025000,2025-06-24 13:30:01+00:00,25.0,22.9,22.2,25.4,0.0,0.0,2.0,130.0,0.804689453125,True,REGULAR,USD,2026-01-16
BTC260116C00030000,2025-06-23 16:25:05+00:00,30.0,16.66,18.8,19.5,0.0,0.0,1.0,82.0,0.672122419433594,True,REGULAR,USD,2026-01-16
BTC260116C00035000,2025-06-24 16:51:58+00:00,35.0,14.55,14.5,15.2,0.0,0.0,1.0,107.0,0.5837443969726561,True,REGULAR,USD,2026-01-16
BTC260116C00040000,2025-06-27 16:02:28+00:00,40.0,11.3,10.9,11.5,0.6000004,5.60748,2.0,321.0,0.5385788330078126,True,REGULAR,USD,2026-01-16
BTC260116C00045000,2025-06-27 15:58:09+00:00,45.0,8.32,7.8,8.5,-0.1800003,-2.1176505,4.0,356.0,0.5075732836914062,True,REGULAR,USD,2026-01-16
BTC260116C00050000,2025-06-27 13:40:44+00:00,50.0,6.0,5.9,6.2,-0.07999992,-1.3157883,1.0,613.0,0.5081836291503907,False,REGULAR,USD,2026-01-16
BTC260116C00055000,2025-06-26 14:16:26+00:00,55.0,4.35,3.9,4.5,0.0,0.0,2.0,308.0,0.512578116455078,False,REGULAR,USD,2026-01-16
BTC260116C00060000,2025-06-26 17:03:40+00:00,60.0,3.13,2.9,3.3,0.0,0.0,1.0,516.0,0.513554669189453,False,REGULAR,USD,2026-01-16
BTC260116C00065000,2025-06-23 13:39:25+00:00,65.0,1.9,1.85,2.6,0.0,0.0,45.0,232.0,0.5307664111328125,False,REGULAR,USD,2026-01-16
BTC260116C00070000,2025-06-25 19:49:35+00:00,70.0,1.86,1.3,2.05,0.0,0.0,8.0,186.0,0.5070850073242188,False,REGULAR,USD,2026-01-16
BTC270115C00020000,2025-06-26 14:02:24+00:00,20.0,30.0,28.0,32.6,0.0,0.0,1.0,44.0,0.7917501293945313,True,REGULAR,USD,2027-01-15
BTC270115C00025000,2025-06-12 19:29:42+00:00,25.0,27.1,24.0,27.1,0.0,0.0,3.0,296.0,0.6469761865234375,True,REGULAR,USD,2027-01-15
BTC270115C00030000,2025-06-23 13:30:02+00:00,30.0,20.9,20.6,25.0,0.0,0.0,1.0,237.0,0.6661410339355471,True,REGULAR,USD,2027-01-15
BTC270115C00035000,2025-06-24 15:27:46+00:00,35.0,19.1,17.0,20.7,0.0,0.0,6.0,58.0,0.5872233660888673,True,REGULAR,USD,2027-01-15
BTC270115C00040000,2025-06-13 15:34:32+00:00,40.0,17.0,15.8,18.1,0.0,0.0,1.0,111.0,0.6129189099121095,True,REGULAR,USD,2027-01-15
BTC270115C00045000,2025-06-27 18:29:40+00:00,45.0,14.3,11.5,15.3,-0.19999981,-1.379309,1.0,155.0,0.5418746984863283,True,REGULAR,USD,2027-01-15
BTC270115C00050000,2025-06-24 14:30:13+00:00,50.0,11.77,10.7,13.6,0.0,0.0,1.0,83.0,0.5674481732177734,False,REGULAR,USD,2027-01-15
BTC270115C00055000,2025-06-27 15:46:31+00:00,55.0,10.5,8.0,12.5,0.0,0.0,3.0,105.0,0.5521285021972657,False,REGULAR,USD,2027-01-15
BTC270115C00060000,2025-06-25 14:37:56+00:00,60.0,9.41,8.1,11.5,0.0,0.0,14.0,182.0,0.5894816442871094,False,REGULAR,USD,2027-01-15
BTC270115C00065000,2025-06-26 18:12:03+00:00,65.0,8.34,5.5,9.5,0.0,0.0,4.0,292.0,0.5399215930175782,False,REGULAR,USD,2027-01-15
BTC270115C00070000,2025-06-18 19:00:02+00:00,70.0,7.0,6.2,8.4,0.0,0.0,26.0,278.0,0.5734295587158205,False,REGULAR,USD,2027-01-15
